MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.059,0.011,-0.007769,0.002604,0.005515,-0.011027,3.576,-0.226,-0.038,-0.007771,-0.002390,0.013065,
-234.568,-0.056,-0.003,-2.516940,0.000955,0.005215,-0.006641,238.142,-0.169,-0.029,2.497602,-0.001073,0.013648,
0.000,-0.059,0.011,-0.007769,0.002604,0.005515,-0.011027,3.576,-0.226,-0.038,-0.007771,-0.002390,0.013065,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.423,0.448,-0.291589,-0.002104,-0.029078,0.019774,287.233,0.167,-0.955,-0.293195,0.012721,0.009280,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.423,0.448,-0.291589,-0.002104,-0.029079,0.019774,7.233,0.167,-0.955,-0.293194,0.012722,0.009280,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.005,0.412,-0.611909,-0.006158,-0.024425,0.000000,7.243,0.055,-0.235,-0.613013,0.016824,0.012600,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,0.088,0.480,-0.610489,0.049389,-0.095418,-0.081742,7.272,-0.040,-0.210,-0.611141,0.038911,0.089279,
0.000,-0.038,0.320,-0.610364,-0.077289,-0.000840,-0.160577,7.358,0.156,-0.277,-0.611513,-0.009620,-0.063761,
0.000,0.046,0.530,-0.611345,0.044766,-0.045096,0.197881,7.106,-0.075,-0.187,-0.612624,0.038050,0.069440,
0.000,-0.171,0.235,-0.611463,-0.074976,0.043118,0.065048,7.225,0.277,-0.257,-0.612891,0.009010,-0.073654,
0.000,0.014,0.470,-0.607998,-0.002937,-0.028002,0.029451,7.243,0.012,-0.229,-0.613052,0.020180,0.012841,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-54.134,-3.241,14.502,-85.604906,10.157608,79.857302,5.932604,-70.908,-53.482,25.346,38.482680,28.757711,-20.252329,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-53.965,-3.368,12.946,-84.198690,10.602461,79.831106,0.000000,-71.956,-54.778,23.737,37.677052,29.499699,-18.443236,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-453.646,-0.020,-0.554,-1.827149,0.004751,0.001295,0.004749,611.253,-22.116,-53.892,1.292949,-0.873807,0.081773,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
105.735,-0.134,-0.537,-13.703673,0.005428,0.001663,0.007790,51.932,-22.721,-62.440,-76.833312,-0.259757,-0.839028,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.664,-22.891,-61.299,-30.533862,-0.782473,-0.390668,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,160.067,-22.569,-59.286,0.548882,-2.866517,0.082362,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,160.067,-22.569,-59.286,0.548882,-2.866517,0.082362,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,-0.922,8.502,157.771,83.256936,9.788532,92.971622,
105.105,306.692,22.829,16.169628,-79.165789,-26.960870,0.000000,254.697,-41.782,352.086,17.037025,-42.141736,110.482045,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,-0.922,8.502,157.771,83.256936,9.788532,92.971622,
105.105,306.692,22.829,16.169628,-79.165789,-26.960870,0.000000,254.697,-41.782,352.086,17.037025,-42.141736,110.482045,
105.105,306.692,22.829,16.169628,-79.165789,-26.960870,0.000000,254.697,-41.782,352.086,17.037025,-42.141736,110.482045,
161.764,183.106,339.946,-14.921628,-2.206469,14.110384,0.815335,-227.838,-47.086,-369.149,-75.161565,14.234181,-1.514250,
161.764,183.106,339.946,-14.921628,-2.206469,14.110384,0.815335,-227.838,-47.086,-369.149,-75.161565,14.234181,-1.514250,
161.764,183.106,339.946,-14.921628,-2.206469,14.110384,0.815335,-227.838,-47.086,-369.149,-75.161565,14.234181,-1.514250,
161.764,183.106,339.946,-14.921628,-2.206469,14.110384,0.000000,-227.279,-47.227,-369.171,-75.161565,14.234181,-1.514250,
161.764,183.106,339.946,-14.921628,-2.206469,14.110384,0.000000,-227.279,-47.227,-369.171,-75.161565,14.234181,-1.514250,
-28.790,0.063,-0.033,0.579050,-0.015801,-0.027486,0.000000,28.968,-0.030,-0.039,-0.605945,-0.014311,-0.050203,
205.761,0.062,-0.033,-1.047719,-0.015120,-0.027536,0.015446,-205.592,0.180,-0.099,1.023626,-0.015594,-0.050493,
